States/Ut,NO2 (in μg/m³),SO2 (in μg/m³),PM10 (in μg/m³),PM2.5 (in μg/m³)
Andhra Pradesh,22.56833333333334,8.1225,72.21249999999999,36.51583333333333
Arunanchal Pradesh,1.31,1.83,39.17,21.99
Assam,12.1,14.093333333333334,127.17333333333336,59.41444444444445
Bihar,28.1959375,12.3696875,181.98896551724135,84.49781250000001
Chandigarh,29.656666666666663,9.143333333333334,118.67666666666666,59.31666666666666
Chhattisgarh,25.89214285714285,9.634285714285715,72.44000000000001,28.555000000000003
NCT of Delhi,36.19190476190476,10.064411764705882,206.7051282051282,102.73731707317074
Gujarat,14.625882352941176,11.208823529411765,102.83588235294118,51.42823529411765
Haryana,21.59,12.342,136.19814814814814,64.48354838709677
Himachal Pradesh,20.19,32.58,134.8,60.07
Jammu & Kashmir,10.5,10.45,73.65,28.23
Jharkhand,70.89,50.8525,133.475,53.02
Karnataka,15.169756097560976,11.4885,66.01725,30.72820512820513
Kerala,10.69375,7.51875,64.40875,32.85875
Madhya Pradesh,21.157241379310346,17.36428571428571,105.42068965517242,49.16275862068966
Maharashtra,26.93786516853933,13.983658536585365,104.89089887640448,48.07397727272728
Manipur,8.495,53.7,83.27,42.095
Meghalaya,9.575,19.31,64.775,31.39
Mizoram,0.89,1.06,49.73,9.93
Nagaland,2.88,33.03,66.55,32.95
Odisha,19.7,13.876666666666669,134.55736842105262,67.14157894736843
Puducherry,10.72,8.2,51.97,24.21
Punjab,21.814285714285717,10.848571428571429,116.85142857142856,51.12571428571429
Rajasthan,23.84511627906977,7.113023255813954,126.40093023255812,50.060697674418606
Sikkim,2.26,35.24,30.85,14.87
Tamil Nadu,21.01076923076923,15.976400000000002,67.66461538461539,31.286800000000003
Telangana,14.832142857142856,9.127857142857142,85.20999999999998,38.725
Tripura,14.09,25.215,105.795,76.59
Uttar Pradesh,28.48036363636364,18.01796296296296,125.91254545454548,55.7475
Uttarakhand,11.326666666666668,3.4766666666666666,72.42999999999999,31.653333333333336
West Bengal,21.68733333333333,10.225333333333335,104.16,51.46866666666667
